Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,RESPONSEID,GeoLocation
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,276,13.68,11.78,15.58,11,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,36540,BO1,CAT1,_HCVU651,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"3,218",73.49,71.41,75.57,12,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,36540,BO1,CAT1,PERSDOC2,RESP050,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,216,5.61,4.59,6.63,13,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,36540,BO1,CAT1,PERSDOC2,RESP053,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,588,20.9,18.94,22.86,14,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,36540,BO1,CAT1,PERSDOC2,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,Overall,Overall,389,11.59,10.1,13.08,15,%,Crude Prevalence,,,BRFSS,CLASS07,Topic28,36540,BO1,CAT1,MEDCOST,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,Overall,Overall,"3,634",88.41,86.92,89.9,16,%,Crude Prevalence,,,BRFSS,CLASS07,Topic28,36540,BO1,CAT1,MEDCOST,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"2,888",66.76,64.62,68.9,17,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,36540,BO1,CAT1,CHECKUP1,RESP063,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,501,14.55,12.9,16.2,18,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,36540,BO1,CAT1,CHECKUP1,RESP064,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,289,9.44,8.07,10.81,19,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,36540,BO1,CAT1,CHECKUP1,RESP065,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,273,8.33,7.02,9.64,20,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,36540,BO1,CAT1,CHECKUP1,RESP066,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,34,0.93,0.48,1.38,21,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,36540,BO1,CAT1,CHECKUP1,RESP067,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,532",30.57,28.69,32.45,22,%,Crude Prevalence,,,BRFSS,CLASS10,Topic31,36540,BO1,CAT1,_RFHYPE5,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),No,Overall,Overall,"2,485",69.43,67.55,71.31,23,%,Crude Prevalence,,,BRFSS,CLASS10,Topic31,36540,BO1,CAT1,_RFHYPE5,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Cholesterol Awareness,Cholesterol Checked,Adults who have ever had their blood cholesterol checked,Yes,Overall,Overall,"3,453",80.61,78.67,82.55,24,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,36540,BO1,CAT1,BLOODCHO,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Cholesterol Awareness,Cholesterol Checked,Adults who have ever had their blood cholesterol checked,No,Overall,Overall,498,19.39,17.45,21.33,25,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,36540,BO1,CAT1,BLOODCHO,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Cholesterol Awareness,Cholesterol Checked,Adults who have had their blood cholesterol checked within the last five years (variable calculated from one or more BRFSS questions),Checked in past 5 years,Overall,Overall,"3,271",76.4,74.34,78.46,26,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,36540,BO1,CAT1,_CHOLCHK,RESP072,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Cholesterol Awareness,Cholesterol Checked,Adults who have had their blood cholesterol checked within the last five years (variable calculated from one or more BRFSS questions),Not Checked in past 5 years,Overall,Overall,139,4.06,3.14,4.98,27,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,36540,BO1,CAT1,_CHOLCHK,RESP073,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Cholesterol Awareness,Cholesterol Checked,Adults who have had their blood cholesterol checked within the last five years (variable calculated from one or more BRFSS questions),Never Checked,Overall,Overall,498,19.55,17.59,21.51,28,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,36540,BO1,CAT1,_CHOLCHK,RESP074,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Cholesterol Awareness,Cholesterol High,Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,441",35.8,33.64,37.96,29,%,Crude Prevalence,,,BRFSS,CLASS02,Topic12,36540,BO1,CAT1,_RFCHOL,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Cholesterol Awareness,Cholesterol High,Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions),No,Overall,Overall,"1,977",64.2,62.04,66.36,30,%,Crude Prevalence,,,BRFSS,CLASS02,Topic12,36540,BO1,CAT1,_RFCHOL,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,Overall,Overall,214,3.84,3.11,4.57,31,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,36540,BO1,CAT1,CVDINFR4,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,No,Overall,Overall,"3,798",96.16,95.43,96.89,32,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,36540,BO1,CAT1,CVDINFR4,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,209,3.71,3,4.42,33,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,36540,BO1,CAT1,CVDCRHD4,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"3,788",96.29,95.58,97,34,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,36540,BO1,CAT1,CVDCRHD4,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Cardiovascular Disease,Respondents that have ever reported having coronary heart disease (chd) or myocardial infarction (mi) (variable calculated from one or more BRFSS questions),Reported having MI or CHD,Overall,Overall,311,5.46,4.62,6.3,35,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,36540,BO1,CAT1,_MICHD,RESP203,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Cardiovascular Disease,Respondents that have ever reported having coronary heart disease (chd) or myocardial infarction (mi) (variable calculated from one or more BRFSS questions),Did not report having MI or CHD,Overall,Overall,"3,680",94.54,93.7,95.38,36,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,36540,BO1,CAT1,_MICHD,RESP204,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,Yes,Overall,Overall,151,2.42,1.91,2.93,37,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,36540,BO1,CAT1,CVDSTRK3,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,Overall,Overall,"3,876",97.58,97.07,98.09,38,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,36540,BO1,CAT1,CVDSTRK3,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,511,13.89,12.28,15.5,39,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,36540,BO1,CAT1,_LTASTH1,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,Overall,Overall,"3,504",86.11,84.5,87.72,40,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,36540,BO1,CAT1,_LTASTH1,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,319,7.73,6.55,8.91,41,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,36540,BO1,CAT1,_CASTHM1,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,Overall,Overall,"3,682",92.27,91.09,93.45,42,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,36540,BO1,CAT1,_CASTHM1,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,Yes,Overall,Overall,327,5.87,5.07,6.67,43,%,Crude Prevalence,,,BRFSS,CLASS03,Topic53,36540,BO1,CAT1,CHCSCNCR,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,No,Overall,Overall,"3,693",94.13,93.33,94.93,44,%,Crude Prevalence,,,BRFSS,CLASS03,Topic53,36540,BO1,CAT1,CHCSCNCR,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,Yes,Overall,Overall,366,6.27,5.43,7.11,45,%,Crude Prevalence,,,BRFSS,CLASS03,Topic40,36540,BO1,CAT1,CHCOCNCR,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,No,Overall,Overall,"3,656",93.73,92.89,94.57,46,%,Crude Prevalence,,,BRFSS,CLASS03,Topic40,36540,BO1,CAT1,CHCOCNCR,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,COPD,Ever told you have COPD?,Yes,Overall,Overall,282,5.62,4.72,6.52,47,%,Crude Prevalence,,,BRFSS,CLASS03,Topic14,36540,BO1,CAT1,CHCCOPD1,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,COPD,Ever told you have COPD?,No,Overall,Overall,"3,731",94.38,93.48,95.28,48,%,Crude Prevalence,,,BRFSS,CLASS03,Topic14,36540,BO1,CAT1,CHCCOPD1,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,264",23.57,21.9,25.24,49,%,Crude Prevalence,,,BRFSS,CLASS03,Topic05,36540,BO1,CAT1,_DRDXAR1,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,Overall,Overall,"2,744",76.43,74.76,78.1,50,%,Crude Prevalence,,,BRFSS,CLASS03,Topic05,36540,BO1,CAT1,_DRDXAR1,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,741,18.6,16.91,20.29,51,%,Crude Prevalence,,,BRFSS,CLASS03,Topic17,36540,BO1,CAT1,ADDEPEV2,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,"3,275",81.4,79.71,83.09,52,%,Crude Prevalence,,,BRFSS,CLASS03,Topic17,36540,BO1,CAT1,ADDEPEV2,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,Overall,Overall,130,2.29,1.78,2.8,53,%,Crude Prevalence,,,BRFSS,CLASS03,Topic35,36540,BO1,CAT1,CHCKIDNY,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,No,Overall,Overall,"3,888",97.71,97.2,98.22,54,%,Crude Prevalence,,,BRFSS,CLASS03,Topic35,36540,BO1,CAT1,CHCKIDNY,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,488,8.85,7.79,9.91,55,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,36540,BO1,CAT1,DIABETE3,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",Overall,Overall,26,0.59,0.34,0.84,56,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,36540,BO1,CAT1,DIABETE3,RESP051,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,Overall,Overall,"3,443",89.08,87.9,90.26,57,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,36540,BO1,CAT1,DIABETE3,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",Overall,Overall,69,1.48,1.03,1.93,58,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,36540,BO1,CAT1,DIABETE3,RESP052,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,Yes,Overall,Overall,565,12.26,10.95,13.57,59,%,Crude Prevalence,,,BRFSS,CLASS05,Topic61,36540,BO1,CAT1,VETERAN3,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,No,Overall,Overall,"3,462",87.74,86.43,89.05,60,%,Crude Prevalence,,,BRFSS,CLASS05,Topic61,36540,BO1,CAT1,VETERAN3,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Internet,Have you used the internet in the past 30 days?,Yes,Overall,Overall,"3,337",87.17,85.84,88.5,61,%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,36540,BO1,CAT1,INTERNET,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,655,12.83,11.5,14.16,62,%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,36540,BO1,CAT1,INTERNET,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Rent/Own Home,Do you own or rent your home?,Own,Overall,Overall,"2,873",68.23,66.17,70.29,63,%,Crude Prevalence,,,BRFSS,CLASS05,Topic49,36540,BO1,CAT1,RENTHOM1,RESP003,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Rent/Own Home,Do you own or rent your home?,Rent,Overall,Overall,960,25.87,23.95,27.79,64,%,Crude Prevalence,,,BRFSS,CLASS05,Topic49,36540,BO1,CAT1,RENTHOM1,RESP004,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Rent/Own Home,Do you own or rent your home?,Other,Overall,Overall,175,5.9,4.78,7.02,65,%,Crude Prevalence,,,BRFSS,CLASS05,Topic49,36540,BO1,CAT1,RENTHOM1,RESP009,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,Overall,Overall,858,18.3,16.71,19.89,66,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,36540,BO1,CAT1,QLACTLM2,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,Overall,Overall,"3,076",81.7,80.11,83.29,67,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,36540,BO1,CAT1,QLACTLM2,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,Yes,Overall,Overall,416,7.85,6.79,8.91,68,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,36540,BO1,CAT1,USEEQUIP,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,No,Overall,Overall,"3,521",92.15,91.09,93.21,69,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,36540,BO1,CAT1,USEEQUIP,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,Overall,Overall,140,3.28,2.54,4.02,70,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,36540,BO1,CAT1,BLIND,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,Overall,Overall,"3,795",96.72,95.98,97.46,71,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,36540,BO1,CAT1,BLIND,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,Overall,Overall,308,8.76,7.45,10.07,72,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,36540,BO1,CAT1,DECIDE,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,Overall,Overall,"3,611",91.24,89.93,92.55,73,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,36540,BO1,CAT1,DECIDE,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,Yes,Overall,Overall,566,11.09,9.86,12.32,74,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,36540,BO1,CAT1,DIFFWALK,RESP046,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,No,Overall,Overall,"3,355",88.91,87.68,90.14,75,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,36540,BO1,CAT1,DIFFWALK,RESP054,"(41.2904514, -95.9999621)"
2015,36540,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Demographics,Disability status,Do you have difficulty dressing or bathing?,Yes,Overall,Overall,145,3.08,2.37,3.79,76,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,36540,BO1,CAT1,DIFFDRES,RESP046,"(41.2904514, -95.9999621)"
